station_id,station_id_3digit,station_code,guide_number,name_zh-hant,name_zh-hans,name_en,name_ko,name_ko_pinyin,name_ja,note_zh-hant,note_zh-hans,note_en,type,system,ipt_data_code
1,001,"0101,6014","1 01,GF 18",西塱,西塱,Xilang,서랑,시랑,西ロウ,,,,metro_station,gzmtr,3325256Q34WX
3,003,0102,1 02,坑口,坑口,Kengkou,갱구,컹커우,坑口,,,,metro_station,gzmtr,75360150GMQ4
4,004,0103,1 03,花地灣,花地湾,Huadiwan,화지만,화디완,花地湾,,,,metro_station,gzmtr,8937411LWG2N
5,005,0104,1 04,芳村,芳村,Fangcun,방촌,팡춘,芳村,,,,metro_station,gzmtr,0623921AWUYW
6,006,"0105,0607","1 05,6 07",黃沙,黄沙,Huangsha,황사,황사,黄沙,,,,metro_station,gzmtr,96739074SUWM
7,007,0106,1 06,長壽路,长寿路,Changshou Lu,장수로,창서우루,長寿路,,,,metro_station,gzmtr,7798602XJA1S
8,008,0107,"1 07,8 12",陳家祠,陈家祠,Chen Clan Academy,진가사,천자츠,陳家祠,,,,metro_station,gzmtr,0254261MSLLI
9,009,0108,1 08,西門口,西门口,Ximenkou,서문구,시먼커우,西門口,,,,metro_station,gzmtr,90067648433J
10,010,"0109,0212","1 09,2 13",公園前,公园前,Gongyuanqian,공원앞,궁위안쳰,公園前,,,,metro_station,gzmtr,00275569MR2U
11,011,0110,1 10,農講所,农讲所,Peasant Movement Institute,농강서,눙장쒀,農講所,,,,metro_station,gzmtr,8243329USRC6
12,012,0111,1 11,烈士陵園,烈士陵园,Martyrs’ Park,열사릉원,례스링위안,烈士陵園,,,,metro_station,gzmtr,1734752XU84L
13,013,"0112,0614","1 12,6 14",東山口,东山口,Dongshankou,동산구,둥산커우,東山口,,,,metro_station,gzmtr,09461444XCJA
14,014,"0113,0511","1 13,5 11",楊箕,杨箕,Yangji,양기,양지,楊箕,,,,metro_station,gzmtr,2588957JD2HQ
15,015,"0114,0303","1 14,3 11",體育西路,体育西路,Tiyu Xilu,체육서로,티위시루,体育西路,,,,metro_station,gzmtr,64128045G3EU
